City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,spas-demensk,54.4122,34.0226,15.19,61,2,1.6,RU,1695916083
155,tromso,69.6496,18.957,10.01,76,0,2.06,NO,1695916083
156,alice springs,-23.7,133.8833,17.75,39,23,2.57,AU,1695915471
157,horta,38.5333,-28.6333,20.8,89,75,4.02,PT,1695916083
158,green river,41.5286,-109.4662,11.22,31,6,1.88,US,1695916083
159,thames,-37.1333,175.5333,10.23,71,31,6.4,NZ,1695916083
160,youhao,47.8667,128.8333,8.64,86,91,2.04,CN,1695916083
161,hanzhong,33.0728,107.0303,16.03,96,100,0.8,CN,1695916084
162,utrik,11.2278,169.8474,28.39,80,100,6.52,MH,1695915533
163,hawaiian paradise park,19.5933,-154.9731,22.24,88,40,1.54,US,1695915524
164,port mathurin,-19.6833,63.4167,22.91,77,3,11.03,MU,1695915512
165,mogocha,53.7333,119.7667,4.42,88,29,1.8,RU,1695916084
166,zhaotong,27.3167,103.7167,16.22,92,99,1.0,CN,1695916084
167,jamestown,42.097,-79.2353,18.77,61,100,4.12,US,1695915338
168,gaigeturi,33.4644,126.3183,23.03,78,40,2.06,KR,1695916085
169,robore,-18.3333,-59.75,25.05,65,6,0.0,BO,1695916085
170,klyuchi,52.2667,79.1667,11.6,68,100,2.37,RU,1695915523
171,douglas,41.3,-96.167,22.55,67,75,5.14,US,1695915933
172,griffith,41.5284,-87.4237,20.53,76,100,3.09,US,1695915557
173,cozumel,20.5083,-86.9458,26.64,94,75,0.45,MX,1695915925
174,aasiaat,68.7098,-52.8699,0.94,99,100,3.37,GL,1695915517
175,inarajan village,13.2736,144.7484,27.54,96,100,6.47,GU,1695916085
176,bardai,11.65,7.2333,32.54,44,85,3.14,NG,1695915568
177,itamaraca,-7.7478,-34.8256,30.03,61,8,4.51,BR,1695915530
178,elamanchili,17.55,82.8667,28.12,87,100,1.14,IN,1695916086
179,eureka,40.8021,-124.1637,11.78,96,1,1.89,US,1695915897
180,inhambane,-23.865,35.3833,24.99,88,75,3.6,MZ,1695916086
181,isafjordur,66.0755,-23.124,7.02,65,75,8.23,IS,1695915508
182,nova sintra,14.8667,-24.7167,24.21,76,30,4.14,CV,1695916086
183,fayroz koh,34.5195,65.2509,8.36,45,26,2.08,AF,1695916086
184,howard springs,-12.497,131.047,26.57,69,16,1.47,AU,1695915554
185,talnakh,69.4865,88.3972,-1.84,95,100,6.81,RU,1695915509
